pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,pt7_X,pt7_Y,pt7_Z,pt8_X,pt8_Y,pt8_Z
27.060124,3.9060019999999995,15.725508,27.56615,3.980378,15.787146,27.648033,3.932406,14.973273,27.369004999999998,1.306878,13.089133,27.86982,0.9027799999999999,12.405389,26.312248999999998,0.236711,12.153925,25.041367,-0.22707800000000003,12.773474,,,
27.059483,3.9078519999999997,15.724019,27.565382,3.9813370000000003,15.785760999999999,27.646752000000003,3.933677,14.973991,27.369004999999998,1.306878,13.089133,27.869797,0.903264,12.405842999999999,26.312382,0.23761300000000002,12.153828,25.041367,-0.22707800000000003,12.773474,,,
27.060109999999998,3.9089160000000005,15.722267,27.565487,3.9827199999999996,15.786106,27.647371999999997,3.934742,14.972245000000001,27.369004999999998,1.306878,13.089133,27.869797,0.903264,12.405842999999999,26.312358000000003,0.238096,12.154286,25.040587,-0.22559200000000001,12.772564,,,
27.060197,3.910791,15.723065,27.565469,3.983214,15.786554,27.646586,3.9361900000000003,14.971316,27.368982,1.307364,13.089587,27.869797,0.903264,12.405842999999999,26.313118,0.237105,12.155646,25.041342999999998,-0.22659400000000002,12.773939,,,
27.058806,3.910688,15.723431,27.564682,3.984667,15.785616000000001,27.646568,3.936682,14.971762,27.368343,1.309245,13.088123,27.869155,0.905149,12.404386,26.314507,0.237198,12.15531,25.042764000000002,-0.226996,12.773153,,,
27.058146999999998,3.9130300000000005,15.722392999999999,27.564037,3.9865150000000003,15.784129,27.645906,3.939019,14.970734,27.368343,1.309245,13.088123,27.869132,0.905633,12.404841000000001,26.314483000000003,0.237682,12.155769,25.042739,-0.22651100000000002,12.773617,,,
27.058253000000004,3.9144120000000004,15.72274,27.564019000000002,3.9870089999999996,15.784576000000001,27.645906,3.939019,14.970734,27.368321,1.309731,13.088577,27.869901000000002,0.904651,12.406196000000001,26.314615999999997,0.23858400000000002,12.155671,25.042739,-0.22651100000000002,12.773617,,,
27.057488,3.915373,15.721354000000002,27.563354999999998,3.989351,15.783535999999998,27.645244,3.941355,14.969705,27.368321,1.309731,13.088577,27.869132,0.905633,12.404841000000001,26.315353,0.238076,12.15749,25.042008,-0.225994,12.771778,,,
27.057575,3.917247,15.722152,27.56346,3.990735,15.783882,27.645349,3.942735,14.970051000000002,27.369194,1.310137,13.090295,27.870006,0.9060389999999999,12.406549,26.316765999999998,0.237686,12.156696,25.042764000000002,-0.226996,12.773153,,,
27.056915999999998,3.9195889999999998,15.721114000000002,27.562796000000002,3.9930769999999995,15.782842,27.643902,3.9465190000000003,14.968094,27.368533000000003,1.3125040000000001,13.089285,27.868622,0.905932,12.406905,26.317503000000002,0.23717800000000003,12.158514,25.04416,-0.226913,12.772831,,,
27.056364000000002,3.923314,15.720423,27.562115000000002,3.995913,15.78225,27.644627000000003,3.9489629999999996,14.966695000000001,27.368509999999997,1.3129899999999999,13.089739,27.869341,0.908407,12.405547,26.318131,0.238263,12.156818,25.044045999999998,-0.22482600000000003,12.769761,,,
27.056451000000003,3.925188,15.721221,27.562201,3.99779,15.783042000000002,27.643946999999997,3.9517919999999997,14.966111999999999,27.367229,1.314274,13.090446,27.869318,0.908891,12.406001,26.319001,0.238657,12.158539,25.045557000000002,-0.22683000000000003,12.772509,,,
27.055290000000003,3.9273559999999996,15.721832999999998,27.561643,4.001515,15.782348,27.643265999999997,3.95462,14.96553,27.366462,1.3152540000000001,13.089082000000001,27.868038000000002,0.910172,12.40671,26.319761,0.237666,12.1599,25.044801,-0.22582800000000003,12.771135000000001,,,
27.054719,3.931572,15.721592000000001,27.561084,4.005240000000001,15.781654000000001,27.643476,3.957379,14.966222,27.366568,1.31664,13.089436,27.868143,0.911559,12.407063,26.320655,0.237576,12.161163,25.044801,-0.22582800000000003,12.771135000000001,,,
27.054166,3.935296,15.720901999999999,27.560525,4.008965,15.78096,27.642134000000002,3.962543,14.964610999999998,27.365884,1.319493,13.08888,27.868247999999998,0.912947,12.407416,26.321392,0.237069,12.162982000000001,25.046198,-0.22574499999999997,12.770813,,,
27.053719,3.940401,15.72056,27.559948,4.013183000000001,15.780713,27.642179,3.9678139999999997,14.962629000000002,27.365990000000004,1.3208799999999998,13.089234,27.867559999999997,0.915799,12.406868,26.323021999999998,0.23647100000000001,12.166064,25.046198,-0.22574499999999997,12.770813,,,
27.053271999999996,3.945507,15.720217000000002,27.559495000000002,4.0182910000000005,15.780364000000002,27.641603000000003,3.972021,14.962392000000001,27.366202,1.323653,13.089941,27.86705,0.916098,12.408933,26.32452,0.23795,12.166089,25.046929000000002,-0.226262,12.772652,,,
27.052807,3.951104,15.720324,27.558255,4.024851,15.779078,27.641771000000002,3.9781800000000005,14.960310999999999,27.365517999999998,1.3265049999999998,13.089385,27.867259000000004,0.9188729999999999,12.409639,26.325281,0.236959,12.167449000000001,25.048325,-0.22618000000000002,12.772331,,,
27.051684,3.959043,15.719394,27.557783,4.0304519999999995,15.779176000000001,27.640515999999998,3.985215,14.959492000000001,27.364963,1.330258,13.088728999999999,27.866571,0.921725,12.409089999999999,26.326126000000002,0.237837,12.169628999999999,25.049103,-0.224192,12.770537,,,
27.051467,3.966418,15.719297000000001,27.556043,4.036834,15.779545,27.639402,3.9926440000000003,14.958128,27.364532,1.3324340000000001,13.091608,27.866165000000002,0.9234120000000001,12.411508,26.327624,0.23633800000000002,12.172808,25.049834,-0.22470900000000002,12.772376,,,
27.049946999999996,3.975564,15.720364000000002,27.555903999999998,4.046089,15.780232999999999,27.638521,3.999925,14.960675,27.364105,1.3370870000000001,13.090850999999999,27.865605,0.927168,12.410859,26.328470000000003,0.24019400000000002,12.171833,25.051367000000003,-0.223723,12.771956,,,
27.049049,3.989153,15.720920000000001,27.55377,4.0536769999999995,15.782603,27.636373,4.010399,14.959829000000001,27.363034999999996,1.3411440000000001,13.092266,27.865177000000003,0.9293389999999999,12.413731,26.329991999999997,0.24119000000000002,12.1714,25.052007999999997,-0.22263899999999998,12.77026,,,
