,Elbow_Flex_Ext,Humeral_Pro_Ret,Humeral_Dep_Ele
125,76.80946076634916,33.56187351431265,62.94978497119412
126,76.33329628976867,36.62276699254468,64.39240286593198
127,77.41214406691103,31.84743181606592,63.979798069224884
128,78.1040971960719,31.08231221100172,63.2376355380657
129,77.20490495923983,30.596805947225675,62.97899794042664
130,79.55703508034532,29.802175769604105,65.0277605308849
131,78.90196210816818,28.787169918994692,64.49384911577175
132,78.90276659726322,29.249109524988086,66.09007189364137
133,79.43321420888519,29.060465131210947,61.69036733997021
134,80.99431547435847,26.58278645926987,66.09046046404482
135,80.50649713727653,26.896507550313117,68.56481848654026
136,77.94410385003049,27.47525786700183,69.77964749985524
137,75.93265787034228,23.02268796590323,66.57809728224427
138,75.79986892516482,22.21073320408206,65.40978755235999
139,76.70988297647189,23.783929991131146,69.73036108641261
140,76.9662681697731,24.252437505800657,63.852182427550744
141,76.37586097919697,23.11799030100906,64.6176830968712
142,79.35252132717957,23.135118080066604,64.49920899644
143,81.71608782642414,23.197840720750577,67.27769444738708
144,78.41632491079761,21.010060677426225,66.86586029957459
145,78.06362926226231,24.948222011659453,67.92426640107927
146,75.86905126449774,22.834587712038257,67.0613708995357
147,75.44225241222142,21.125290266786095,65.0864473160441
148,76.73629913292541,20.448663421913267,69.9591480294851
149,75.45268851997056,22.163497289847328,67.35023191549853
150,76.74309574057017,23.921156667394968,66.36874189596271
151,78.51227713532963,26.41984493187843,67.60040694845154
152,76.02185994225302,20.46107030843342,65.5464113770573
153,74.10847803753045,23.943701324082383,65.27415147650726
154,74.34318293083344,23.363454890584393,66.17979780721764
155,72.97645022767713,22.146931176110655,66.8265518897036
156,73.83445681106099,22.9667887773185,62.379996021556366
157,77.52482235005942,20.09185429567313,67.77355722044604
158,74.47292161138806,20.28781626456592,71.05888158249691
159,73.537371357528,24.84545326277143,65.72957129602624
160,70.31299423493442,25.49889824484444,58.1864390342556
161,70.10188720540332,27.091783358296965,58.7187979039883
162,70.98864161178255,30.407536353978713,59.96279884802203
163,69.95073100592877,25.621527898584873,64.65123920383849
164,69.86442016461153,24.962421573622976,63.11209998721361
165,69.93955421035267,21.92049122393516,61.667761382860604
166,68.93092903309964,24.7661867874005,60.961484966927955
167,68.21120663837436,26.634544779644017,59.82332360778503
168,68.73623107933528,28.18642086090611,66.41629047471822
169,67.07047167480172,21.249568931215748,58.1216971475492
170,67.25473410949088,27.583735775418944,59.97433112502087
171,67.23552086728367,29.3542062199933,59.95994474275683
172,67.18617464584266,30.758295678680184,63.381396046311266
173,65.4828852033048,28.558557854807788,61.5143207276232
174,64.5632170073377,31.763242784767414,58.21494297828396
175,65.0075410928548,31.01595953241784,56.4404021435879
176,65.25391524743256,34.73967409764529,63.59163485599737
177,64.06443038655038,28.313887554180184,59.13130908580371
178,64.49275501565728,28.022595052622535,54.32798286556134
179,64.64189601686147,28.419506409085074,54.581562968726786
180,62.91181387117835,37.27987929980242,51.342769424536954
181,62.30832936845933,28.81626118257776,53.27530253256219
182,60.35365820903498,25.893476866276103,58.5518461189161
183,63.169794304195264,33.08074639503627,55.12340044966531
184,61.24725656603596,31.60876488715749,52.70079204491964
185,61.05028801846792,38.386135991717765,60.155931557440184
186,60.74552746211096,36.01085035022197,55.451715672293176
187,60.006980990901326,35.02509803212928,59.22915506204812
188,58.90439527212608,43.454953461344445,58.23781963347672
189,59.69286135242892,39.569841422588524,48.93056727175335
190,59.33652380560873,38.504125922028265,50.47175609339638
191,59.75618652501968,42.34920068658056,50.141618500113395
192,59.870341920150906,41.77340732192266,53.30476915470754
193,58.794275571358945,42.36701658573065,52.02047771035829
194,60.44630994397535,40.80525848280578,45.11631753563901
195,60.596668049200844,44.255796683150834,46.62579490215896
196,59.61137205069158,46.01016616260799,48.7159053993816
197,57.18567203767614,47.586051207081084,47.51981115672896
198,58.95109344273285,44.33207038747847,45.121923557697585
199,59.47139550746586,43.88995042339053,45.74747333796921
200,59.24078858470568,45.84833652990375,44.3760710338552
201,59.93495726304082,49.35184927613628,51.03942326181544
202,60.24400088267383,48.830410280542765,41.537688519343845
203,61.406785526508955,48.80280301489856,48.99053815598671
204,61.74852541744039,49.629025670984475,48.86166113678726
205,63.67816923130917,50.50019059546469,44.120058567658816
206,61.2308574264284,47.29615565636851,52.5385304080598
207,63.74964601437666,52.23061850258594,45.43506775876082
208,64.09795459984423,54.251682969945264,45.096033757462635
209,67.73775899377819,56.123645410725445,51.444633287287786
210,67.04936458454992,61.82233813619965,38.285643267838765
211,68.82935755184928,55.663386858216754,47.27615539322929
212,69.25448281731917,59.297423899236364,48.3037971628778
213,70.88447223389399,58.666023926266774,49.783311822268786
214,70.59808926084312,59.312948959135426,51.02587382780453
215,70.90429659654902,60.316804884135166,47.93530779235107
216,71.94400156713273,62.21829175550691,53.93492319830945
217,70.75756922214374,59.431547896497094,53.07138168319264
218,72.9088658063294,61.25523026356275,55.92147967634364
219,75.05159659637533,66.62391291851071,51.636605874161546
220,74.22688961892156,65.28352030363237,45.68140093718716
221,76.84464618194347,63.465541289396484,55.654165430358006
222,77.90179770221098,67.38437071923576,50.7675628056071
223,77.90187552938849,65.591104933354,51.915877823554695
224,79.80905612417493,67.32235547195259,50.21030007275644
225,81.1181006709927,66.6809328368879,51.68337797759497
226,78.83236320765695,65.60104473770379,58.39210842514886
227,80.60971590919056,68.20569973688063,58.83129202962458
228,81.60027211470289,69.10860877143196,51.81386124470882
229,82.03647815008367,69.05898643830342,55.63280509667217
230,82.23339904932915,69.03196435530256,49.95953706343275
231,85.45315316865707,71.47488427946953,50.64342280908181
232,86.09508496600975,72.78034805185177,54.21362955307349
233,87.30548379946579,73.92119023219401,54.899001890778194
234,88.01281091254604,73.94636025164394,64.72055323088114
235,87.69041720144287,72.09781853933623,63.56538100259077
236,88.73014864955725,71.88677348245199,61.044687820625654
237,91.66662531496785,74.85581291115389,66.9504629480549
238,89.8156905512481,71.9429788776465,68.71848886022715
239,91.52422995326961,74.77941303949859,67.91699554518738
240,91.78000432575946,74.86767931639328,64.27039358830567
241,93.75104150278806,78.69649848447258,63.0127584373227
242,92.54536700807034,76.28795411768878,67.09465034733132
243,95.81788415546376,80.97672086305712,64.59763790352899
244,95.23277459180036,75.98535668429227,72.68934194919359
245,96.53923028866433,77.31919262526824,69.60363336761428
246,96.12433887421804,76.71584569622924,68.61132425365206
247,95.51421031865846,77.62054368037302,71.96162856240525
248,97.0106254179785,80.32899677866072,65.60477248805567
249,96.79502258511903,78.06342642140704,73.56225778752606
250,95.36139857494096,75.90322478035598,73.55225170482395
251,93.24958308779404,77.52338885296479,66.40950070428825
252,90.41682015915725,74.9164554059231,69.2906933840323
253,90.45880866555798,76.39769939255547,64.31937397999786
254,87.48774696856769,76.88141279146318,61.19960188442603
255,87.75732055850494,76.89892162874979,60.93050580321098
256,85.96147120831179,74.85320678190213,61.426918757923985
257,82.52424660076717,72.50546880472496,60.84573061919755
258,76.01860320900536,68.52294731851855,56.65195869056798
259,71.40001714528543,65.22003372865062,59.16475546187327
260,68.12597287448664,59.5513947879968,56.631667638024425
261,63.2323362945199,56.1497207795659,52.58529827559704
262,60.337375265764216,56.76210573845509,52.36060691304537
263,59.96655587636658,53.99227121455584,56.0499187190746
264,56.263259242219256,48.608462603028244,60.5579038941905
265,52.59241661186663,43.998500329789465,60.692176611450236
266,47.62211005886615,40.54402145144584,61.02219424160043
267,45.719834874596934,32.36700887876802,61.88448643485678
268,42.99272231929934,29.429491446937817,60.802872032188176
269,40.95214172478705,31.505008484953436,61.829384004236175
270,40.83152704175656,27.432847483998586,58.85561056294105
271,41.3196973404964,37.697811089842446,60.27290786322263
272,43.65676431454228,31.867652152564517,64.05267242907114
273,43.21138435292101,30.179133170275577,57.97553418929169
274,44.075767096268976,27.8068899849508,62.17340745579884
275,43.98991626827941,34.547773761435025,60.504196078871914
276,44.72942026828942,34.039194125602904,61.69820284436658
277,45.70884308790122,28.642005884249016,64.19781936011768
278,46.062089672742715,29.848806489858646,63.03089015117014
279,47.431462628957114,30.01666918512879,67.87915700520753
280,49.50373694641752,33.148273714989784,66.19499134438345
281,49.47708818859321,38.068193358656714,64.12098366125946
282,49.605571099967534,26.809165479464355,70.81807600782106
283,50.21087956498146,31.141825741043306,70.3249130553852
284,50.990847926427485,32.25167456334478,70.12282175190616
285,52.761212057139964,34.854806255047976,67.1628023659316
286,54.771491971125414,31.538029556452898,67.61630303486031
