ID,Hop Number,Hop Length,Hop Phase,Sight,Max Extension,Max Protraction,Max Elevattion,Max Flexion,Max Retraction,Max Depression,Phase Duration (s),Initial Elb,Initial Pro/Ret,Intial Elev/Dep,Final Elb,Final Pro/Ret,Final Elev/Dep,Mean Elb,Mean Pro/Ret,Mean Elev/Dep,Hop Duration,Elb Ang Vel,HPR Ang Vel,HED Ang Vel,Hop Duration (s),Max Extension-Max Flexion
Zeus,1,L,Initiation,Sighted,116.7906817,50.06901981,141.3620874,98.16597286,29.01526397,115.9544551,52,99.47390348,47.301875,139.7398197,106.6154911,32.92312464,115.9544551,110.034373,39.29232459,130.013914,201,-68.66911188,138.2572151,228.7054286,0.104,
Zeus,1,L,Forelimb LO,Sighted,108.5115679,71.72202815,159.4237116,75.21962873,27.46483003,122.05467,58,108.5115679,29.7952288,124.3773942,85.40570104,69.69552017,145.8427489,86.52197538,50.48986185,138.9034363,201,199.1885077,-343.968029,-185.0461607,0.116,
Zeus,1,L,Impact Prep,Sighted,123.330316,89.4892283,149.7083418,87.39405708,70.88056043,119.0888078,47,87.97246209,71.38178669,146.7391612,107.5426853,81.69191399,134.4503379,104.3131594,80.98792215,136.0848137,201,-208.1938641,-109.6822053,130.732163,0.094,
Zeus,1,L,Landing,Sighted,158.04024,82.75059019,146.7839027,84.61118676,31.09101448,95.74439451,44,110.578217,82.17203371,128.4692557,158.04024,31.09101448,109.6176663,120.0087417,45.96276042,115.0057671,201,-539.341171,580.4661276,214.2226062,0.088,
Zeus,2,ML,Initiation,Sighted,134.2689567,56.58445967,142.8351885,75.2577112,19.72988209,104.1184456,57,75.2577112,56.58445967,138.0916697,124.0872171,28.66105635,124.8707614,110.686178,39.48967532,122.9686499,191,-428.3289992,244.9421344,115.9728801,0.114,
Zeus,2,ML,Forelimb LO,Sighted,123.218342,74.67131775,147.1756188,91.93622315,24.88481431,114.9955527,56,123.218342,27.99390687,122.8201061,94.37992407,74.67131775,139.0185846,102.2007979,47.99463405,131.3576836,191,257.4858742,-416.7625972,-144.6292716,0.112,
Zeus,2,ML,Impact Prep,Sighted,121.9403137,91.26054994,153.6633341,97.70383912,75.52707101,122.6772598,35,97.70383912,75.52707101,139.1090994,112.8489152,86.29329156,137.3972269,111.4205833,84.32626141,134.870868,191,-216.3582294,-153.8031506,24.45532118,0.07,
Zeus,2,ML,Landing,Sighted,108.61531,81.62314968,152.4039508,49.90673802,46.34259022,123.092426,43,108.61531,81.62314968,139.1814223,77.13007953,49.06540215,124.9003032,68.28325139,55.16780072,136.1558279,191,366.1073306,378.5784597,166.059524,0.086,
Zeus,3,SM,Initiation,Sighted,110.1314492,44.50952623,137.9255727,79.71377433,19.85808995,111.8527642,76,79.71377433,40.52520186,131.4847831,103.077489,23.1195101,118.5196129,96.76581025,35.32993783,124.3192475,221,-153.7086495,114.51113,85.29717217,0.152,
Zeus,3,SM,Forelimb LO,Sighted,105.4731252,68.41963153,153.0247705,81.2109287,20.70599973,110.4218309,55,105.4731252,21.90830213,113.1394899,89.75287231,68.41963153,147.7172297,90.32246161,41.61936531,132.1857888,221,142.9113904,-422.8302673,-314.343089,0.11,
