,fore-aft,lateral,normal
295,1.03849,-0.11718,-0.25445
296,1.04488,-0.16319,-0.23202
297,1.07228,-0.14942,-0.25093000000000004
298,1.05841,-0.14282,-0.26396
299,1.04529,-0.17209000000000002,-0.23806
300,1.06359,-0.12395,-0.24983
301,1.07079,-0.13606,-0.26085
302,1.06764,-0.13767,-0.24346
303,1.06497,-0.12229,-0.25357
304,1.06845,-0.17448,-0.25695
305,1.04343,-0.13914,-0.25311
306,1.0338200000000002,-0.13481,-0.26115
307,1.08115,-0.14562999999999998,-0.24775
308,1.06873,-0.16667,-0.24116
309,1.07599,-0.16085,-0.24079
310,1.08164,-0.15295999999999998,-0.242
311,1.06492,-0.1482,-0.25779
312,1.0605,-0.14277,-0.25288
313,1.06541,-0.12008,-0.24089
314,1.07068,-0.13840999999999998,-0.23914
315,1.06464,-0.14892,-0.26561
316,1.04705,-0.1686,-0.24528000000000005
317,1.0980299999999998,-0.17392,-0.23787
318,1.04607,-0.15547,-0.25052
319,1.07671,-0.19956,-0.2465
320,1.07669,-0.13802,-0.23643000000000006
321,1.06437,-0.13185999999999998,-0.25381
322,1.06808,-0.13172,-0.24442
323,1.06486,-0.13476,-0.23443000000000006
324,1.07109,-0.13669,-0.25001
325,1.0593,-0.17040999999999998,-0.26128
326,1.0791,-0.15887,-0.24675
327,1.05576,-0.14904,-0.25814000000000004
328,1.06479,-0.15849000000000002,-0.24573000000000006
329,1.09143,-0.1734,-0.24743
330,1.07348,-0.15534,-0.24476
331,1.0779,-0.13863,-0.23788
332,1.07865,-0.14573,-0.24585
333,1.0771,-0.13887,-0.24318
334,1.0662,-0.17643,-0.2317
335,1.07595,-0.16953,-0.25302
336,1.07049,-0.13258,-0.24382
337,1.10128,-0.15988,-0.24474
338,1.07475,-0.17920999999999998,-0.24193
339,1.05174,-0.15925999999999998,-0.23688
340,1.04918,-0.15099,-0.24593
341,1.08472,-0.16647,-0.24448000000000006
342,1.03814,-0.13897,-0.25081
343,1.1183,-0.13932,-0.2449
344,1.06045,-0.13868,-0.24975
345,1.05896,-0.1587,-0.25102
346,1.08257,-0.18614,-0.25784
347,1.0810799999999998,-0.18786,-0.23295
348,1.06943,-0.17306,-0.25288
349,1.07492,-0.18674,-0.24433
350,1.07294,-0.17552,-0.23912
351,1.05953,-0.17162,-0.24594
352,1.09121,-0.16219,-0.24052
353,1.07818,-0.18079,-0.23664
354,1.07573,-0.16071,-0.2497
355,1.07802,-0.16299,-0.24876
356,1.08281,-0.16264,-0.24687
357,1.07565,-0.14402,-0.23682
358,1.06236,-0.16635,-0.25643
359,1.06656,-0.1766,-0.24877
360,1.06147,-0.15611,-0.24554
361,1.09191,-0.18246,-0.25277
362,1.06826,-0.1809,-0.2375
363,1.10946,-0.18662,-0.22728
364,1.10069,-0.16785999999999998,-0.24705
365,1.06521,-0.15094000000000002,-0.24229
366,1.08485,-0.15944,-0.2496
367,1.08438,-0.16899999999999998,-0.25031
368,1.09744,-0.16363,-0.24100000000000002
369,1.0914700000000002,-0.16957,-0.25052
370,1.09399,-0.15938,-0.24782
371,1.1043,-0.15604,-0.24209
372,1.07287,-0.14342,-0.24975
373,1.08306,-0.18923,-0.26057
